osm_id,registered_name,category_group,specific_type,latitude,longitude,district
13787018202,"MASAAJIDKA SHIBIIN","Hotels & Hospitality",viewpoint,9.58676,44.07712,"Hargeisa"
13787018401,"HALEELO TOWER","Hotels & Hospitality",apartment,9.56267,44.05903,"Gollis Road"
13895972601,"ina cabdi raxmaan gurigeeda","Hotels & Hospitality",viewpoint,9.58552,44.01843,"Hargeisa"
202439612,"Pradise Hotel","Hotels & Hospitality",hotel,9.5604,44.06239,"Hargeisa"
228964321,"Nuh Hotel","Hotels & Hospitality",hotel,9.56284,44.07878,"Road Number One"
305188214,"Maan Soor Hotel","Hotels & Hospitality",hotel,9.5755,44.03167,"Hargeisa"
365346748,"Xamdi Hotel","Hotels & Hospitality",hotel,9.56174,44.09729,"Hargeisa"
4595635191,"Abokor artan","Hospitals & Healthcare",dentist,9.57718,44.06192,"Hargeisa"
4997437522,"p/p GARGAAR HOSPITAL","Hospitals & Healthcare",hospital,9.55966,44.06208,"Hargeisa"
5954605612,"Hargeisa Care Clinic","Hospitals & Healthcare",clinic,9.54241,44.05111,"Hargeisa"
6503396585,"MSF Somalia","Hospitals & Healthcare",clinic,9.52199,44.06848,"Hargeisa"
8929222545,"Birjeex Militery Hospital","Hospitals & Healthcare",hospital,9.55104,44.0554,"Birjeex Street"
8929222551,"Daryeel Phermecy","Hospitals & Healthcare",pharmacy,9.53991,44.05843,"Xaashi Kabadoon Street"
9277213643,"Bukhan  Pharmacy","Hospitals & Healthcare",pharmacy,9.54057,44.09523,"Hargeisa"
9277214018,"Nairobi  Pharmacy","Hospitals & Healthcare",pharmacy,9.54056,44.08377,"Hargeisa"
9277218363,"Muhuran Pharmacy","Hospitals & Healthcare",pharmacy,9.53961,44.09139,"Hargeisa"
9277226733,"Kulaan  Pharmacy","Hospitals & Healthcare",pharmacy,9.53987,44.08981,"Hargeisa"
9277228841,"Saacid  Pharmacy","Hospitals & Healthcare",pharmacy,9.54104,44.09743,"Hargeisa"
305183550,"Adna Adan hospital","Hospitals & Healthcare",hospital,9.55119,44.06685,"Hargeisa"
357089660,"المستشف الدولى","Hospitals & Healthcare",clinic,9.52887,44.07492,"Hargeisa"
430366600,"International Hospital المستشفى الدولي","Hospitals & Healthcare",hospital,9.52882,44.07507,"Airport Road"
449347606,"Gargaar Multi specialty Hospital","Hospitals & Healthcare",hospital,9.55973,44.06182,"Hargeisa"
791242083,"Dhakhtarka Adna مستشفى أدنا آدن","Hospitals & Healthcare",hospital,9.55106,44.06684,"Hargeisa"
791244577,"Kaah medical centre","Hospitals & Healthcare",hospital,9.56456,44.06006,"Goljano Road"
791245129,"Haldoor Hospital","Hospitals & Healthcare",hospital,9.5658,44.06097,"Hargeisa"
791249655,"Disabled people hospital","Hospitals & Healthcare",hospital,9.56012,44.0554,"Road Number 1 / طريق رقم 1"
965340306,"Adna Adan Maternity Hospital","Hospitals & Healthcare",hospital,9.55104,44.06684,"Hargeisa"
1462275345,"Naaso Hablood Hospital","Hospitals & Healthcare",hospital,9.57696,44.12482,"Hargeisa"
2794110273,"biyo dhacay school","Universities & Education",school,9.57183,44.06317,"Hargeisa"
3574051004,"Al-Irshad secondary school","Universities & Education",school,9.52498,44.07982,"Hargeisa"
3645086673,"MMooge School","Universities & Education",school,9.5373,44.09315,"Hargeisa"
4463299375,"Dugsiga Hoose/dhexe ee Sheekh Madar","Universities & Education",school,9.56224,44.04986,"Hargeisa"
4463540846,"Dugsiga Hoose/dhexe ee 31 May","Universities & Education",school,9.56428,44.03905,"Hargeisa"
4596847498,"Talasan","Universities & Education",school,9.57378,44.03592,"Hero Awr Road"
4702315995,"admas university","Universities & Education",school,9.57752,44.02831,"Hargeisa"
